time;Model Root/CTRL_VEH/DriverRequest [%]/Value;Model Root/STATUS_BAT/StateOfCharge [%]/Value
2.893400;23.19;
2.900000;;70.00
2.910000;;70.00
2.920000;;70.00
2.930000;;70.00
2.940000;;70.00
2.950000;;70.00
2.960000;;70.00
2.970000;;70.00
2.980000;;70.00
2.990000;;70.00
3.000000;;70.00
3.010000;;70.00
3.013833;24.69;
3.020000;;70.00
3.030000;;70.00
3.040000;;70.00
3.050000;;70.00
3.060000;;70.00
3.070000;;70.00
3.080000;;70.00
3.090000;;70.00
3.100000;;70.00
3.110000;;70.00
3.120000;;70.00
3.130000;;70.00
3.134267;25.16;
3.140000;;70.00
3.150000;;70.00
3.160000;;70.00
3.170000;;70.00
3.180000;;70.00
3.190000;;70.00
3.200000;;70.00
3.210000;;70.00
3.220000;;70.00
3.230000;;70.00
3.240000;;70.00
3.250000;;70.00
3.254700;26.69;
3.260000;;70.00
3.270000;;70.00
3.280000;;70.00
3.290000;;70.00
3.300000;;70.00
3.310000;;70.00
3.320000;;70.00
3.330000;;70.00
3.340000;;70.00
3.350000;;70.00
3.360000;;70.00
3.370000;;70.00
3.375133;27.43;
3.380000;;70.00
3.390000;;70.00
3.400000;;70.00
3.410000;;70.00
3.420000;;70.00
3.430000;;70.00
3.440000;;70.00
3.450000;;70.00
3.460000;;70.00
3.470000;;70.00
3.480000;;70.00
3.490000;;70.00
3.495567;28.51;
3.500000;;70.00
3.510000;;70.00
3.520000;;70.00
3.530000;;70.00
3.540000;;70.00
3.550000;;70.00
3.560000;;70.00
3.570000;;70.00
3.580000;;70.00
3.590000;;70.00
3.600000;;70.00
3.610000;;70.00
